"Phoneme","Feature","Value","Weight"
"p","Acute",0,0
"p","Acute",1,0
"p","Acute",2,1
"p","Acute",3,0
"p","Acute",4,0
"p","Acute",5,0
"p","Acute",6,0
"p","Acute",7,0
"p","Acute",8,0
"p","Burst",0,0
"p","Burst",1,0
"p","Burst",2,0
"p","Burst",3,0
"p","Burst",4,0
"p","Burst",5,0
"p","Burst",6,0
"p","Burst",7,0.2
"p","Burst",8,1
"p","Consonantal",0,0
"p","Consonantal",1,0
"p","Consonantal",2,0
"p","Consonantal",3,0
"p","Consonantal",4,0
"p","Consonantal",5,0
"p","Consonantal",6,0
"p","Consonantal",7,0
"p","Consonantal",8,1
"p","Diffuse",0,0
"p","Diffuse",1,0
"p","Diffuse",2,0
"p","Diffuse",3,0
"p","Diffuse",4,0
"p","Diffuse",5,0
"p","Diffuse",6,0
"p","Diffuse",7,1
"p","Diffuse",8,0
"p","Power",0,0
"p","Power",1,0
"p","Power",2,0
"p","Power",3,0
"p","Power",4,1
"p","Power",5,0
"p","Power",6,0
"p","Power",7,0
"p","Power",8,0
"p","Vocalic",0,0
"p","Vocalic",1,1
"p","Vocalic",2,0
"p","Vocalic",3,0
"p","Vocalic",4,0
"p","Vocalic",5,0
"p","Vocalic",6,0
"p","Vocalic",7,0
"p","Vocalic",8,0
"p","Voiced",0,0
"p","Voiced",1,1
"p","Voiced",2,0
"p","Voiced",3,0
"p","Voiced",4,0
"p","Voiced",5,0
"p","Voiced",6,0
"p","Voiced",7,0
"p","Voiced",8,0
"b","Acute",0,0
"b","Acute",1,0
"b","Acute",2,1
"b","Acute",3,0
"b","Acute",4,0
"b","Acute",5,0
"b","Acute",6,0
"b","Acute",7,0
"b","Acute",8,0
"b","Burst",0,0
"b","Burst",1,0
"b","Burst",2,0
"b","Burst",3,0
"b","Burst",4,0
"b","Burst",5,0
"b","Burst",6,0
"b","Burst",7,1
"b","Burst",8,0.2
"b","Consonantal",0,0
"b","Consonantal",1,0
"b","Consonantal",2,0
"b","Consonantal",3,0
"b","Consonantal",4,0
"b","Consonantal",5,0
"b","Consonantal",6,0
"b","Consonantal",7,0
"b","Consonantal",8,1
"b","Diffuse",0,0
"b","Diffuse",1,0
"b","Diffuse",2,0
"b","Diffuse",3,0
"b","Diffuse",4,0
"b","Diffuse",5,0
"b","Diffuse",6,0
"b","Diffuse",7,1
"b","Diffuse",8,0
"b","Power",0,0
"b","Power",1,0
"b","Power",2,0
"b","Power",3,0
"b","Power",4,1
"b","Power",5,0
"b","Power",6,0
"b","Power",7,0
"b","Power",8,0
"b","Vocalic",0,0
"b","Vocalic",1,1
"b","Vocalic",2,0
"b","Vocalic",3,0
"b","Vocalic",4,0
"b","Vocalic",5,0
"b","Vocalic",6,0
"b","Vocalic",7,0
"b","Vocalic",8,0
"b","Voiced",0,0
"b","Voiced",1,0
"b","Voiced",2,0
"b","Voiced",3,0
"b","Voiced",4,0
"b","Voiced",5,0
"b","Voiced",6,0
"b","Voiced",7,1
"b","Voiced",8,0
"t","Acute",0,0
"t","Acute",1,0
"t","Acute",2,0
"t","Acute",3,0
"t","Acute",4,0
"t","Acute",5,0
"t","Acute",6,0
"t","Acute",7,1
"t","Acute",8,0
"t","Burst",0,0
"t","Burst",1,0
"t","Burst",2,0
"t","Burst",3,0
"t","Burst",4,0
"t","Burst",5,0.2
"t","Burst",6,1
"t","Burst",7,0
"t","Burst",8,0
"t","Consonantal",0,0
"t","Consonantal",1,0
"t","Consonantal",2,0
"t","Consonantal",3,0
"t","Consonantal",4,0
"t","Consonantal",5,0
"t","Consonantal",6,0
"t","Consonantal",7,0
"t","Consonantal",8,1
"t","Diffuse",0,0
"t","Diffuse",1,0
"t","Diffuse",2,0
"t","Diffuse",3,0
"t","Diffuse",4,0
"t","Diffuse",5,0
"t","Diffuse",6,0
"t","Diffuse",7,1
"t","Diffuse",8,0
"t","Power",0,0
"t","Power",1,0
"t","Power",2,0
"t","Power",3,0
"t","Power",4,1
"t","Power",5,0
"t","Power",6,0
"t","Power",7,0
"t","Power",8,0
"t","Vocalic",0,0
"t","Vocalic",1,1
"t","Vocalic",2,0
"t","Vocalic",3,0
"t","Vocalic",4,0
"t","Vocalic",5,0
"t","Vocalic",6,0
"t","Vocalic",7,0
"t","Vocalic",8,0
"t","Voiced",0,0
"t","Voiced",1,1
"t","Voiced",2,0
"t","Voiced",3,0
"t","Voiced",4,0
"t","Voiced",5,0
"t","Voiced",6,0
"t","Voiced",7,0
"t","Voiced",8,0
"d","Acute",0,0
"d","Acute",1,0
"d","Acute",2,0
"d","Acute",3,0
"d","Acute",4,0
"d","Acute",5,0
"d","Acute",6,0
"d","Acute",7,1
"d","Acute",8,0
"d","Burst",0,0
"d","Burst",1,0
"d","Burst",2,0
"d","Burst",3,0
"d","Burst",4,0
"d","Burst",5,1
"d","Burst",6,0.2
"d","Burst",7,0
"d","Burst",8,0
"d","Consonantal",0,0
"d","Consonantal",1,0
"d","Consonantal",2,0
"d","Consonantal",3,0
"d","Consonantal",4,0
"d","Consonantal",5,0
"d","Consonantal",6,0
"d","Consonantal",7,0
"d","Consonantal",8,1
"d","Diffuse",0,0
"d","Diffuse",1,0
"d","Diffuse",2,0
"d","Diffuse",3,0
"d","Diffuse",4,0
"d","Diffuse",5,0
"d","Diffuse",6,0
"d","Diffuse",7,1
"d","Diffuse",8,0
"d","Power",0,0
"d","Power",1,0
"d","Power",2,0
"d","Power",3,0
"d","Power",4,1
"d","Power",5,0
"d","Power",6,0
"d","Power",7,0
"d","Power",8,0
"d","Vocalic",0,0
"d","Vocalic",1,1
"d","Vocalic",2,0
"d","Vocalic",3,0
"d","Vocalic",4,0
"d","Vocalic",5,0
"d","Vocalic",6,0
"d","Vocalic",7,0
"d","Vocalic",8,0
"d","Voiced",0,0
"d","Voiced",1,0
"d","Voiced",2,0
"d","Voiced",3,0
"d","Voiced",4,0
"d","Voiced",5,0
"d","Voiced",6,0
"d","Voiced",7,1
"d","Voiced",8,0
"k","Acute",0,0
"k","Acute",1,0.1
"k","Acute",2,0.3
"k","Acute",3,1
"k","Acute",4,0.3
"k","Acute",5,0.1
"k","Acute",6,0
"k","Acute",7,0
"k","Acute",8,0
"k","Burst",0,0
"k","Burst",1,0
"k","Burst",2,0
"k","Burst",3,0.2
"k","Burst",4,1
"k","Burst",5,0
"k","Burst",6,0
"k","Burst",7,0
"k","Burst",8,0
"k","Consonantal",0,0
"k","Consonantal",1,0
"k","Consonantal",2,0
"k","Consonantal",3,0
"k","Consonantal",4,0
"k","Consonantal",5,0
"k","Consonantal",6,0
"k","Consonantal",7,0
"k","Consonantal",8,1
"k","Diffuse",0,0
"k","Diffuse",1,0
"k","Diffuse",2,1
"k","Diffuse",3,0
"k","Diffuse",4,0
"k","Diffuse",5,0
"k","Diffuse",6,0
"k","Diffuse",7,0
"k","Diffuse",8,0
"k","Power",0,0
"k","Power",1,0
"k","Power",2,0
"k","Power",3,0
"k","Power",4,1
"k","Power",5,0
"k","Power",6,0
"k","Power",7,0
"k","Power",8,0
"k","Vocalic",0,0
"k","Vocalic",1,1
"k","Vocalic",2,0
"k","Vocalic",3,0
"k","Vocalic",4,0
"k","Vocalic",5,0
"k","Vocalic",6,0
"k","Vocalic",7,0
"k","Vocalic",8,0
"k","Voiced",0,0
"k","Voiced",1,1
"k","Voiced",2,0
