"Phoneme","Feature","Value","Weight"
"vow","Acute",0,0
"vow","Acute",1,0
"vow","Acute",2,0
"vow","Acute",3,0
"vow","Acute",4,0
"vow","Acute",5,0
"vow","Acute",6,0
"vow","Acute",7,0
"vow","Acute",8,0
"vow","Burst",0,0
"vow","Burst",1,0
"vow","Burst",2,0
"vow","Burst",3,0
"vow","Burst",4,0
"vow","Burst",5,0
"vow","Burst",6,0
"vow","Burst",7,0
"vow","Burst",8,0
"vow","Consonantal",0,0
"vow","Consonantal",1,1
"vow","Consonantal",2,0
"vow","Consonantal",3,0
"vow","Consonantal",4,0
"vow","Consonantal",5,0
"vow","Consonantal",6,0
"vow","Consonantal",7,0
"vow","Consonantal",8,0
"vow","Diffuse",0,0
"vow","Diffuse",1,0
"vow","Diffuse",2,0
"vow","Diffuse",3,0
"vow","Diffuse",4,0
"vow","Diffuse",5,0
"vow","Diffuse",6,0
"vow","Diffuse",7,0
"vow","Diffuse",8,0
"vow","Power",0,0
"vow","Power",1,0
"vow","Power",2,0
"vow","Power",3,0
"vow","Power",4,0
"vow","Power",5,0
"vow","Power",6,0
"vow","Power",7,0
"vow","Power",8,0
"vow","Vocalic",0,0
"vow","Vocalic",1,0
"vow","Vocalic",2,0
"vow","Vocalic",3,0
"vow","Vocalic",4,0
"vow","Vocalic",5,0
"vow","Vocalic",6,0
"vow","Vocalic",7,0
"vow","Vocalic",8,1
"vow","Voicing",0,0
"vow","Voicing",1,0
"vow","Voicing",2,0
"vow","Voicing",3,0
"vow","Voicing",4,0
"vow","Voicing",5,0
"vow","Voicing",6,0
"vow","Voicing",7,0
"vow","Voicing",8,1
"L","Acute",0,0
"L","Acute",1,0
"L","Acute",2,0.5
"L","Acute",3,0.5
"L","Acute",4,0.5
"L","Acute",5,0
"L","Acute",6,0
"L","Acute",7,0
"L","Acute",8,0
"L","Burst",0,0
"L","Burst",1,0
"L","Burst",2,0
"L","Burst",3,0
"L","Burst",4,0
"L","Burst",5,0
"L","Burst",6,0
"L","Burst",7,0
"L","Burst",8,0
"L","Consonantal",0,0
"L","Consonantal",1,0
"L","Consonantal",2,0
"L","Consonantal",3,1
"L","Consonantal",4,0
"L","Consonantal",5,0
"L","Consonantal",6,0
"L","Consonantal",7,0
"L","Consonantal",8,0
"L","Diffuse",0,0
"L","Diffuse",1,0.5
"L","Diffuse",2,0.5
"L","Diffuse",3,0
"L","Diffuse",4,0
"L","Diffuse",5,0
"L","Diffuse",6,0
"L","Diffuse",7,0
"L","Diffuse",8,0
"L","Power",0,0
"L","Power",1,0
"L","Power",2,0
"L","Power",3,0
"L","Power",4,0
"L","Power",5,0
"L","Power",6,0
"L","Power",7,1
"L","Power",8,0
"L","Vocalic",0,0
"L","Vocalic",1,0
"L","Vocalic",2,0
"L","Vocalic",3,0
"L","Vocalic",4,0
"L","Vocalic",5,0
"L","Vocalic",6,0
"L","Vocalic",7,1
"L","Vocalic",8,0
"L","Voicing",0,0
"L","Voicing",1,0
"L","Voicing",2,0
"L","Voicing",3,0
"L","Voicing",4,0
"L","Voicing",5,0
"L","Voicing",6,0
"L","Voicing",7,0
"L","Voicing",8,1
"dif","Acute",0,0
"dif","Acute",1,0
"dif","Acute",2,0
"dif","Acute",3,0
"dif","Acute",4,0
"dif","Acute",5,0
"dif","Acute",6,0
"dif","Acute",7,0
"dif","Acute",8,0
"dif","Burst",0,0
"dif","Burst",1,0
"dif","Burst",2,0
"dif","Burst",3,0
"dif","Burst",4,0
"dif","Burst",5,0
"dif","Burst",6,0
"dif","Burst",7,0
"dif","Burst",8,0
"dif","Consonantal",0,0
"dif","Consonantal",1,0
"dif","Consonantal",2,0
"dif","Consonantal",3,0
"dif","Consonantal",4,0
"dif","Consonantal",5,0
"dif","Consonantal",6,0
"dif","Consonantal",7,0
"dif","Consonantal",8,0
"dif","Diffuse",0,0
"dif","Diffuse",1,0
"dif","Diffuse",2,0
"dif","Diffuse",3,0
"dif","Diffuse",4,0
"dif","Diffuse",5,0
"dif","Diffuse",6,0
"dif","Diffuse",7,0
"dif","Diffuse",8,1
"dif","Power",0,0
"dif","Power",1,0
"dif","Power",2,0
"dif","Power",3,0
"dif","Power",4,0
"dif","Power",5,0
"dif","Power",6,0
"dif","Power",7,0
"dif","Power",8,0
"dif","Vocalic",0,0
"dif","Vocalic",1,0
"dif","Vocalic",2,0
"dif","Vocalic",3,0
"dif","Vocalic",4,0
"dif","Vocalic",5,0
"dif","Vocalic",6,0
"dif","Vocalic",7,0
"dif","Vocalic",8,0
"dif","Voicing",0,0
"dif","Voicing",1,0
"dif","Voicing",2,0
"dif","Voicing",3,0
"dif","Voicing",4,0
"dif","Voicing",5,0
"dif","Voicing",6,0
"dif","Voicing",7,0
"dif","Voicing",8,0
"as","Acute",0,0
"as","Acute",1,0
"as","Acute",2,0
"as","Acute",3,0
"as","Acute",4,0
"as","Acute",5,0
"as","Acute",6,0
"as","Acute",7,1
"as","Acute",8,0
"as","Burst",0,0
"as","Burst",1,0
"as","Burst",2,0
"as","Burst",3,0
"as","Burst",4,0
"as","Burst",5,0.5
"as","Burst",6,0.5
"as","Burst",7,0
"as","Burst",8,0
"as","Consonantal",0,0
"as","Consonantal",1,0
"as","Consonantal",2,0
"as","Consonantal",3,0
"as","Consonantal",4,0
"as","Consonantal",5,0
"as","Consonantal",6,0
"as","Consonantal",7,0
"as","Consonantal",8,1
"as","Diffuse",0,0
"as","Diffuse",1,0
"as","Diffuse",2,0
"as","Diffuse",3,0
"as","Diffuse",4,0
"as","Diffuse",5,0
"as","Diffuse",6,0
"as","Diffuse",7,1
"as","Diffuse",8,0
"as","Power",0,0
"as","Power",1,0
"as","Power",2,0
"as","Power",3,0
"as","Power",4,1
"as","Power",5,0
"as","Power",6,0
"as","Power",7,0
"as","Power",8,0
"as","Vocalic",0,0
"as","Vocalic",1,1
"as","Vocalic",2,0
"as","Vocalic",3,0
"as","Vocalic",4,0
"as","Vocalic",5,0
"as","Vocalic",6,0
"as","Vocalic",7,0
"as","Vocalic",8,0
"as","Voicing",0,0
"as","Voicing",1,0
"as","Voicing",2,0
"as","Voicing",3,0
"as","Voicing",4,0
"as","Voicing",5,0
"as","Voicing",6,0
"as","Voicing",7,0
"as","Voicing",8,0
"vs","Acute",0,0
"vs","Acute",1,0
"vs","Acute",2,0
"vs","Acute",3,1
"vs","Acute",4,0
"vs","Acute",5,0
"vs","Acute",6,0
"vs","Acute",7,0
"vs","Acute",8,0
"vs","Burst",0,0
"vs","Burst",1,0
"vs","Burst",2,0
"vs","Burst",3,0.5
"vs","Burst",4,0.5
"vs","Burst",5,0
"vs","Burst",6,0
"vs","Burst",7,0
"vs","Burst",8,0
"vs","Consonantal",0,0
"vs","Consonantal",1,0
"vs","Consonantal",2,0
"vs","Consonantal",3,0
"vs","Consonantal",4,0
"vs","Consonantal",5,0
"vs","Consonantal",6,0
"vs","Consonantal",7,0
"vs","Consonantal",8,1
"vs","Diffuse",0,0
"vs","Diffuse",1,0
"vs","Diffuse",2,1
"vs","Diffuse",3,0
"vs","Diffuse",4,0
"vs","Diffuse",5,0
"vs","Diffuse",6,0
"vs","Diffuse",7,0
"vs","Diffuse",8,0
"vs","Power",0,0
"vs","Power",1,0
"vs","Power",2,0
"vs","Power",3,0
"vs","Power",4,1
"vs","Power",5,0
"vs","Power",6,0
"vs","Power",7,0
"vs","Power",8,0
"vs","Vocalic",0,0
"vs","Vocalic",1,1
"vs","Vocalic",2,0
"vs","Vocalic",3,0
"vs","Vocalic",4,0
"vs","Vocalic",5,0
"vs","Vocalic",6,0
"vs","Vocalic",7,0
"vs","Vocalic",8,0
"vs","Voicing",0,0
"vs","Voicing",1,0
"vs","Voicing",2,0
"vs","Voicing",3,0
"vs","Voicing",4,0
"vs","Voicing",5,0
"vs","Voicing",6,0
"vs","Voicing",7,0
"vs","Voicing",8,0
"bs","Acute",0,0
"bs","Acute",1,0
"bs","Acute",2,1
"bs","Acute",3,0
"bs","Acute",4,0
"bs","Acute",5,0
"bs","Acute",6,0
"bs","Acute",7,0
"bs","Acute",8,0
"bs","Burst",0,0
"bs","Burst",1,0
"bs","Burst",2,0
"bs","Burst",3,0
"bs","Burst",4,0
"bs","Burst",5,0
"bs","Burst",6,0
"bs","Burst",7,0.5
"bs","Burst",8,0.5
"bs","Consonantal",0,0
"bs","Consonantal",1,0
"bs","Consonantal",2,0
"bs","Consonantal",3,0
"bs","Consonantal",4,0
"bs","Consonantal",5,0
"bs","Consonantal",6,0
"bs","Consonantal",7,0
"bs","Consonantal",8,1
"bs","Diffuse",0,0
"bs","Diffuse",1,0
"bs","Diffuse",2,0
"bs","Diffuse",3,0
"bs","Diffuse",4,0
"bs","Diffuse",5,0
"bs","Diffuse",6,0
"bs","Diffuse",7,1
"bs","Diffuse",8,0
"bs","Power",0,0
"bs","Power",1,0
"bs","Power",2,0
"bs","Power",3,0
"bs","Power",4,1
"bs","Power",5,0
"bs","Power",6,0
"bs","Power",7,0
"bs","Power",8,0
"bs","Vocalic",0,0
"bs","Vocalic",1,1
"bs","Vocalic",2,0
"bs","Vocalic",3,0
"bs","Vocalic",4,0
"bs","Vocalic",5,0
"bs","Vocalic",6,0
"bs","Vocalic",7,0
"bs","Vocalic",8,0
"bs","Voicing",0,0
"bs","Voicing",1,0
"bs","Voicing",2,0
"bs","Voicing",3,0
"bs","Voicing",4,0
"bs","Voicing",5,0
"bs","Voicing",6,0
"bs","Voicing",7,0
"bs","Voicing",8,0
"p/t","Acute",0,0
"p/t","Acute",1,0
"p/t","Acute",2,0
"p/t","Acute",3,0
"p/t","Acute",4,0.5
"p/t","Acute",5,0.5
"p/t","Acute",6,0
"p/t","Acute",7,0
"p/t","Acute",8,0
"p/t","Burst",0,0
"p/t","Burst",1,0
"p/t","Burst",2,0
"p/t","Burst",3,0
"p/t","Burst",4,0
"p/t","Burst",5,0
"p/t","Burst",6,1
"p/t","Burst",7,0
"p/t","Burst",8,1
"p/t","Consonantal",0,0
"p/t","Consonantal",1,0
"p/t","Consonantal",2,0
"p/t","Consonantal",3,0
"p/t","Consonantal",4,0
"p/t","Consonantal",5,0
"p/t","Consonantal",6,0
"p/t","Consonantal",7,0
"p/t","Consonantal",8,1
"p/t","Diffuse",0,0
"p/t","Diffuse",1,0
"p/t","Diffuse",2,0
"p/t","Diffuse",3,0
"p/t","Diffuse",4,0
"p/t","Diffuse",5,0
"p/t","Diffuse",6,0
"p/t","Diffuse",7,1
"p/t","Diffuse",8,0
"p/t","Power",0,0
"p/t","Power",1,0
"p/t","Power",2,0
"p/t","Power",3,0
"p/t","Power",4,1
"p/t","Power",5,0
"p/t","Power",6,0
